Ref Des,Mid X(mm),Mid Y(mm),Rotation,CommentPackage,
BOOT_BUTTON,24,108.29,180,BUTTON_CUSYOMV1,MYBUTTON
C1,155.43,3.45,90,100nF,EAGLE-LTSPICE_C0402
C10,43.8,106.6,270,100nF,EAGLE-LTSPICE_C0402
C10_SUPERCAP,94.6,53.97,270,CPH3225A,CAPCP3225X100N
C1_BAT,140.42,40.7,90,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT1,131.69,29.6,0,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,126.12,29.73,180,4.7uF,EAGLE-LTSPICE_C0402
C2,157.2,3.45,90,100nF,EAGLE-LTSPICE_C0402
C2_BAT,126.4,40.55,270,4.7uF,EAGLE-LTSPICE_C0402
C3,132.38,34.37,270,100uF TANT,RCL_CT3528
C4,95.24,40.87,90,4.7uF/25V,EAGLE-LTSPICE_C0402
C4_USB,153.15,57.6,180,100nF,EAGLE-LTSPICE_C0402
C5,68.6,106.71,270,1uF,EAGLE-LTSPICE_C0402
C5_USB,153.15,59.5,180,4.7uF,EAGLE-LTSPICE_C0402
C6,29.6,106.8,270,100nF,EAGLE-LTSPICE_C0402
C7,83.48,28.32,180,10uF,EAGLE-LTSPICE_C0402
C8,85.23,50.16,180,100nF,EAGLE-LTSPICE_C0402
C9,10.42,98.5,270,100nF,EAGLE-LTSPICE_C0402
CHANGE_BUTTON,49,108.29,180,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,121.76,46.33,90,,ADAFRUIT_CHIP-LED0603
C_DELAY,53.3,101.23,270,100nF,EAGLE-LTSPICE_C0402
D1,152.5,54,0,USBLC6-2SC6Y,SOT95P280X145-6N
D10,28.56,33.83,90,PGB1010603MR,DIOC1608X36N
D11,31.72,33.73,90,PGB1010603MR,DIOC1608X36N
D12,34.8,33.73,90,PGB1010603MR,DIOC1608X36N
D2,121.62,34.27,90,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,90.33,37.97,0,MBR0530,SOD3716X135N
D4,90.33,33.16,180,MBR0530,SOD3716X135N
D5,82.81,41.28,180,MBR0530,SOD3716X135N
D6,71.94,29.38,90,PGB1010603MR,DIOC1608X36N
D7,85.8,67.9,180,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,14.37,97.67,0,PGB1010603MR,DIOC1608X36N
D9,32.7,49.8,270,PGB1010603MR,DIOC1608X36N
EPD_C1,92.4,22.59,270,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C10,76.97,22.79,270,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C11,70.39,18.75,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C12,74.86,22.85,270,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C2,90.35,22.69,270,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C5,88.06,22.79,270,0.1uF/50V,EAGLE-LTSPICE_C0402
EPD_C6,83.6,22.79,270,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C7,85.88,22.79,270,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C8,81.14,22.79,270,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C9,79.07,22.79,270,1uF/50V,EAGLE-LTSPICE_C0402
IC1,49.43,101.23,0,BD5229G-TR,SOT95P280X125-5N
IC4,127,34.44,0,XC6220A331MR-G,SOT95P280X120-5N
J1,164.96,54.2,90,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
J2,83.92,13.07,0,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
J3,166.35,19.3,90,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
J4,9.09,88.49,270,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
L1,82.91,34.2,270,68uH,IND_4828-WE-TPC_WRE
MCP73831,127.84,45.26,90,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
PFMF.050.1,151.64,44.31,180,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
Q1,133.79,40.74,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,75.88,33.69,270,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,66.48,15.91,90,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,8.78,44.15,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,11.6,98.5,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,121.66,43.39,0,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,158.95,3.45,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,85.9,65.17,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,118.58,34.27,90,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,71.14,12.93,0,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,160.7,3.45,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,89.4,66.36,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,151.8,49.2,270,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,154.05,49.17,90,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,116.65,43.43,0,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,67.48,10.36,90,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,71.19,15.04,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,30.05,49.8,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,28.6,29.22,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,31.66,29.32,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,34.82,29.32,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,75.65,30.29,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,64,108.29,180,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,18.9,106.9,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,91.6,53.4,270,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,53.8,106.71,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,76.07,36.89,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,58.5,106.91,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,158.79,9.43,90,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,71.04,9.79,0,,SJ
TP1,13.22,68.88,0,TPTP20R,TP20R
TP10,14.48,41.68,0,TPTP20R,TP20R
TP11,13.23,17.58,0,TPTP20R,TP20R
TP12,96.83,15.98,0,TPTP20R,TP20R
TP13,77.78,42.18,0,TPTP20R,TP20R
TP14,153.63,62.58,0,TPTP20R,TP20R
TP15,84.83,71.58,0,TPTP20R,TP20R
TP16,60.08,103.68,0,TPTP20R,TP20R
TP17,96.78,21.38,0,TPTP20R,TP20R
TP2,15.87,70.08,0,TPTP20R,TP20R
TP3,136.59,49.28,0,TPTP20R,TP20R
TP4,72.31,107.08,0,TPTP20R,TP20R
TP5,2.83,98.48,0,TPTP20R,TP20R
TP6,7.65,98.48,0,TPTP20R,TP20R
TP7,40.37,55.18,0,TPTP20R,TP20R
TP8,5.19,98.48,0,TPTP20R,TP20R
TP9,11.11,14.78,0,TPTP20R,TP20R
U1,34.23,57.15,0,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.7,56.61,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,84.19,57.78,270,DS3231SN#,SOIC127P1032X265-16N
U4,137.53,45.3,0,MAX17048G+T10,SON50P200X200X80-9N
